Type,Instruction Name,opcode,func3,func7
R,and,0110011,111,0000000
R,add,0110011,000,0000000
R,or,0110011,110,0000000
R,sll,0110011,001,0000000
R,slt,0110011,010,0000000
R,sra,0110011,101,0100000
R,srl,0110011,101,0000000
R,sub,0110011,000,0100000
R,xor,0110011,100,0000000
R,mul,0110011,000,0000001
R,div,0110011,100,0000001
R,rem,0110011,110,0000001
I,andi,0010011,111,NA
I,addi,0010011,000,NA
I,ori,0010011,110,NA
I,lb,0000011,000,NA
I,lh,0000011,001,NA
I,lw,0000011,010,NA
I,jalr,1100111,000,NA
S,sb,0100011,000,NA
S,sw,0100011,010,NA
S,sh,0100011,001,NA
SB,beq,1100011,000,NA
SB,bne,1100011,001,NA
SB,bge,1100011,101,NA
SB,blt,1100011,100,NA
U,auipc,0010111,NA,NA
U,lui,0110111,NA,NA
UJ,jal,1101111,NA,NA
